brand_name,model,release_year,curve_index,soc_percent,charging_power_kW
Audi,s,2021,0,0.0,86.5
Audi,s,2021,1,30.0,86.5
Audi,s,2021,2,60.0,60.55
Audi,s,2021,3,80.0,34.6
Audi,s,2021,4,100.0,11.0
Audi,s sportback,2020,0,0.0,86.5
Audi,s sportback,2020,1,30.0,86.5
Audi,s sportback,2020,2,60.0,60.55
Audi,s sportback,2020,3,80.0,34.6
Audi,s sportback,2020,4,100.0,11.0
Audi,s sportback,2021,0,0.0,86.5
Audi,s sportback,2021,1,30.0,86.5
Audi,s sportback,2021,2,60.0,60.55
Audi,s sportback,2021,3,80.0,34.6
Audi,s sportback,2021,4,100.0,11.0
Audi,sportback 50,2020,0,0.0,64.7
Audi,sportback 50,2020,1,20.0,64.7
Audi,sportback 50,2020,2,40.0,52.0
Audi,sportback 50,2020,3,60.0,39.0
Audi,sportback 50,2020,4,80.0,26.0
Audi,sportback 50,2020,5,100.0,11.0
Audi,sportback 50,2021,0,0.0,64.7
Audi,sportback 50,2021,1,30.0,64.7
Audi,sportback 50,2021,2,60.0,45.29
Audi,sportback 50,2021,3,80.0,25.88
Audi,sportback 50,2021,4,100.0,11.0
Audi,sportback 55,2020,0,0.0,86.5
Audi,sportback 55,2020,1,30.0,86.5
Audi,sportback 55,2020,2,60.0,60.55
Audi,sportback 55,2020,3,80.0,34.6
Audi,sportback 55,2020,4,100.0,11.0
Audi,sportbacketron 35,2021,0,0.0,52.0
Audi,sportbacketron 35,2021,1,50.0,52.0
Audi,sportbacketron 35,2021,2,80.0,31.2
Audi,sportbacketron 35,2021,3,100.0,4.0
Audi,sportbacketron 40,2021,0,0.0,76.6
Audi,sportbacketron 40,2021,1,20.0,76.6
Audi,sportbacketron 40,2021,2,40.0,61.0
Audi,sportbacketron 40,2021,3,60.0,46.0
Audi,sportbacketron 40,2021,4,80.0,31.0
Audi,sportbacketron 40,2021,5,100.0,11.0
Audi,sportbacketron 45,2022,0,0.0,76.6
Audi,sportbacketron 45,2022,1,30.0,76.6
Audi,sportbacketron 45,2022,2,60.0,53.62
