station_id,latitude,longitude,company_id,charger_type,rated_power_kw,station_connectors,operator_name
5dcb3acfb237e7af45f60b083a2b4305,51.507202,-0.026712,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
5dcb3acfb237e7af45f60b083a2b4305,51.507202,-0.026712,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
0d124848a0ea943f34d3a85bf3599943,51.507202,-0.026712,7,Rapid,50.0,"('CHAdeMO',)",The GeniePoint Network
0d124848a0ea943f34d3a85bf3599943,51.507202,-0.026712,8,Rapid,50.0,"('CHAdeMO',)",The GeniePoint Network
44f89aa962e57f9f1cd9ec2b53284dad,51.542093,-0.149774,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
44f89aa962e57f9f1cd9ec2b53284dad,51.542093,-0.149774,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
3771f41dc735e7404cd56cdebf7fea22,51.509946,-0.005424,7,Slow,7.0,"('Type2',)",The GeniePoint Network
3771f41dc735e7404cd56cdebf7fea22,51.509946,-0.005424,8,Slow,7.0,"('Type2',)",The GeniePoint Network
d5f691643a90f747709a37dd16dc5e87,51.509946,-0.005424,7,Slow,7.0,"('Type2',)",The GeniePoint Network
d5f691643a90f747709a37dd16dc5e87,51.509946,-0.005424,8,Slow,7.0,"('Type2',)",The GeniePoint Network
95386242175e91cc85bf7cf608b54638,51.509946,-0.005424,7,Slow,7.0,"('Type2',)",The GeniePoint Network
95386242175e91cc85bf7cf608b54638,51.509946,-0.005424,8,Slow,7.0,"('Type2',)",The GeniePoint Network
54bcdb63fab2b188f3205d909fac27ac,51.509946,-0.005424,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
54bcdb63fab2b188f3205d909fac27ac,51.509946,-0.005424,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
812e0df65eb6f409d6509df3a055ccc5,51.545497,-0.077537,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
812e0df65eb6f409d6509df3a055ccc5,51.545497,-0.077537,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
1bb159f91c000a522b1ca970bf7644d2,51.5265,-0.07763,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
1bb159f91c000a522b1ca970bf7644d2,51.5265,-0.07763,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
d2677ede077bed4b90d8ab03c3373183,51.544714,-0.057088,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
