chargeDeviceID,name,latitude,longitude,postcode,borough_cleaned,countryCode,deviceNetworks,locationType
2833be9fd49a063a36d3de1e5e28abc4,25 Gladstone Street,51.497235,-0.105256,SE1 6EY,lambeth,gb,Char.gy,On-street
db44eb3ee4900a08b21e9f2ff8b74b12,"Rowland Hill House, Nelson Square",51.503257,-0.10312,SE1 0QA,lambeth,gb,Char.gy,On-street
05c49d8ad656b7f9435f6371de69d41f,Opposite 9 Valentine Place,51.501429,-0.106493,SE1 8QH,lambeth,gb,Char.gy,On-street
d2e4c90cfa9f7f364387dde842fa8463,"Opposite Smeaton Court, Rockingham Street",51.496089,-0.098015,SE1 6PD,lambeth,gb,Char.gy,On-street
f809a98d985ac44a9ec8527788eed38e,"Thelbridge House, Bruce Road",51.526288,-0.01685,E3 3HL,tower hamlets,gb,Char.gy,On-street
3810ea0abde04c78411cbc776f4aeec1,"Robin Hood Gardens, Robin Hood Lane",51.509328,-0.007419,E14 0HG,tower hamlets,gb,Char.gy,On-street
4901dbcdcf1627b67e8aa29958da4af8,"Opposite St Nicholas Church Centre, Ettrick Street",51.514545,-0.005532,E14 0PU,tower hamlets,gb,Char.gy,On-street
fbca7c48c185890bd31f538b91ba5fbb,14 Augusta Street,51.514364,-0.019356,E14 6DY,tower hamlets,gb,Char.gy,On-street
1c34bf1931d3009da403034004b2460a,"Oban Street, adjacent to Portree Street",51.514944,0.001077,E14 0JB,tower hamlets,gb,Char.gy,On-street
cb4eccaf040af1e8450a20cfb495a247,Opposite 108 Knapp Road,51.521586,-0.022955,E3 4EN,tower hamlets,gb,Char.gy,On-street
d054494ddc7a3d0cbea56d03c4217152,"Opposite Rounton Park, Campbell Road",51.524172,-0.019225,E3 4DP,tower hamlets,gb,Char.gy,On-street
6dae90f127d0b89f423a13d71d355c01,Opposite 3 Blair Street,51.512886,-0.006096,E14 0NX,tower hamlets,gb,Char.gy,On-street
f41f70ae71978d8214b6f5fd1ebc888a,"Dee street, adjacent to Wooster Gardens",51.514055,-0.004949,E14 0PT,tower hamlets,gb,Char.gy,On-street
