brand_name,model,release_year,battery_kWh,avg_consumption_Wh_per_km,ac_phases,ac_max_power_kW,dc_max_power_kW,has_default_charging_curve
Ford,mach-e er,2021,88.0,20.5,3,11.0,88.0,True
Ford,mach-e,2021,88.0,21.5,3,11.0,88.0,True
Ford,mach-e sr rwd,2022,70.0,18.7,3,11.0,70.0,False
Ford,mach-e er rwd,2022,91.0,19.0,3,11.0,91.0,False
Ford,mach-e sr,2022,70.0,20.3,3,11.0,70.0,False
Ford,mach-e er,2022,91.0,20.7,3,11.0,91.0,False
Ford,mach-e,2022,91.0,21.4,3,11.0,91.0,False
Ford,mach-e sr rwd,2023,72.6,19.1,3,11.0,72.6,False
Ford,mach-e er rwd,2023,91.0,19.0,3,11.0,91.0,False
Ford,mach-e sr,2023,72.6,20.7,3,11.0,72.6,False
Ford,mach-e er,2023,91.0,20.7,3,11.0,91.0,False
Ford,mach-e,2023,91.0,21.4,3,11.0,91.0,False
Genesis,G80,2023,82.5,18.8,3,11.0,230.0,True
Genesis,GV60,2022,74.0,19.0,3,11.0,233.0,True
Genesis,GV60,2022,74.0,19.5,3,11.0,233.0,True
Genesis,GV60,2022,74.0,20.3,3,11.0,233.0,True
Genesis,GV70,2023,74.0,21.1,3,11.0,233.0,True
Genesis,premium,2022,74.0,19.0,3,11.0,74.0,False
Genesis,sport,2022,74.0,19.5,3,11.0,74.0,False
Genesis,sport plus,2022,74.0,20.3,3,11.0,74.0,False
Genesis,electrified luxury,2022,82.5,18.8,3,11.0,82.5,False
Genesis,electrified sport,2022,74.0,21.1,3,11.0,74.0,False
GWM,ORA 03,2024,45.4,17.5,3,11.0,64.0,True
GWM,ORA 03,2024,59.3,17.4,3,11.0,69.0,True
GWM,ORA 03,2024,59.3,18.2,3,11.0,69.0,True
GWM,ORA 07,2024,83.5,19.4,3,11.0,88.0,True
GWM,ORA 07,2024,64.3,18.4,3,11.0,88.0,True
GWM,ORA 07,2024,64.3,18.4,3,11.0,88.0,True
GWM,ORA 03 48 kWh,2024,45.4,17.5,3,11.0,45.4,False
GWM,ORA 03 63 kWh,2024,59.3,17.4,3,11.0,59.3,False
GWM,ORA 03 GT,2024,59.3,18.2,3,11.0,59.3,False
Honda,e,2020,28.5,16.8,3,6.6,28.5,False
Honda,e:Ny1,2023,61.9,18.5,3,11.0,61.9,False
Honda,advance,2020,28.5,16.8,3,28.5,28.5,False
Hongqi,E-HS9,2023,112.0,24.3,3,11.0,130.0,True
Hongqi,E-HS9 84 kWh,2022,76.5,23.9,3,11.0,140.0,False
Hongqi,E-HS9 99 kWh,2022,90.0,24.3,3,11.0,140.0,False
Hongqi,84kwh,2022,76.5,23.9,3,11.0,76.5,False
Hongqi,99kwh,2022,90.0,24.3,3,11.0,90.0,False
Hongqi,120kwh,2023,112.0,24.3,3,11.0,112.0,False
Hyundai,IONIQ 5,2021,74.0,18.5,3,11.0,233.0,False
Hyundai,IONIQ 5,2021,72.6,19.4,3,11.0,221.0,False
Hyundai,IONIQ 5,2021,54.0,18.3,3,11.0,175.0,True
Hyundai,Ioniq,2019,38.3,15.3,1,7.2,46.0,False
Hyundai,Ioniq,2016,28.0,14.4,1,6.6,69.0,False
Hyundai,Kona,2020,39.2,15.4,3,11.0,50.0,True
Hyundai,Kona,2018,39.2,15.4,1,7.2,50.0,True
Hyundai,Kona,2020,64.0,15.8,3,11.0,77.0,False
Hyundai,Kona,2018,64.0,15.8,1,7.2,77.0,False
Hyundai,Kona Electric 48 kWh,2023,48.4,16.4,3,11.0,75.0,False
Hyundai,Kona Electric 39 kWh,2021,39.2,16.0,3,11.0,44.0,False
Hyundai,Kona Electric 64 kWh,2021,64.0,16.4,3,11.0,77.0,True
Hyundai,Kona Electric 65 kWh,2023,65.4,16.8,3,11.0,105.0,False
