chargeDeviceID,connector_type,rated_power_kW,charge_method,status
b479c8d55e1b4da66cf94da821603925,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
e4a66c7b98de5af061f948757b322a80,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
bf67344c13760af0965e04a76c3b8b33,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ca70cd053f8f9c1d5f4292da1e5983ff,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
395795b5f9f4dcc3b1c80ee43d8540c6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
1ba7c5dc002dad66d735f563c3a368fc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4679a41c71fd74652a8bd8d4842310d8,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
042a935474dea4d8c524b6b41a04fb0c,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
042299d9de4dae3b82073c165a1041e7,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6f78b0d1c4d7963d6dce6644e717ac2f,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
63621c2b9382b1255c91c950b1b1abcc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6063044686185eb2b8f1c28095c4a3d1,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
32473ba437fd1b552fae3bd075244502,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
e51db7cec738be88ce0a9127c677089a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
cccdeb5ebcd019d1b4985fb5adf5bdee,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
540d327b3b7ee0e43be1b875f689555d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2e5663190c8682fd9d30fd0fb7d42f41,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6215ff596443b9c761b344f67c85eaad,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
978f458cf124defc615164067eb4f8e9,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6927a744d2710f212027cb117a2dd8dc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
1f4d65025f3483a4298211cebdca571f,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
65fafe41880da92214fc5f5e8f394662,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a8b4b044afa4b96b95c652eca24f69a9,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
d00c6ccf7093bca0fbeb161823f193b6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2ad4f32237d3852edc42c1c1c3e0bebc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
bd6b74b9d261511238237b7e521e1b62,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
70b8bfde335c0230bc02e02af32e95e2,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
8f1beaaf070724447e2e677bcf3cf299,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
e6bd14f3490e509e5778cb4012f7b46a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
f27c413353bb0c88d9e8a1b720978ee6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
bd403cb00107a6f39e530da5fd27c656,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
cb341955b2f4927f406870fd99bf62d7,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
7de9dde6aaeb68d17aca0d206a4be336,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
366683de9d578fcf338b5ed8d35d039b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ecfaf27832aa24e4a6949bdf15acd1b6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2232aa6234dca711457ffb5419121fab,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
773c0dac2ce5cbc77cc4f2f3602a173d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
507a6965f32d702499488a7392af9a4b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
82c84e849b48654f188916b5f2c5764b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
04f24e61ee2b62a164e9e228c5ca2751,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
5b096e40ae8b1b13416b0f995e175853,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
25eed90c2c13a61cacf9e026f626c2c1,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
cc07c69313c4cd2e2f0835a8b3102964,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
fa3dfddf4ade32052df3cabb873d961d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
69a733c61d551457493452cfb7dc9bf4,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
1b4506388a06b31414a13e5ccf7eb3ab,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
99bcc0670755b041dcd6365218643de3,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2a81a44b65bc6af58a064f8a2475640b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
febb7687c71fc43bbadd84ae18bc8626,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
f7bd66e3493b538aae3d9a4e93f52d9b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
7b203f983e803deb4f8b7907a7db42bd,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
7d7c6bd4c7fa42d65cdcea5d1015a8d8,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
b1def63358eda5c45dbda4fa7c0620ef,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
107af15b2638b7b76137d6a682bb4dcf,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
fe6ba870eb9fbaabdab832093cd635fc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ce8ad00de05e146aa8c2a193c5fb2cd2,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ac78b098916b74fe33f64c5526550037,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
52b7de55d18966be8690fecdf9617ec7,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a64c738021fe07be8992423b6978d448,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
593557f22ee551871d5360e4619231eb,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
7896b5e8984832fa19752cd2511ac6f1,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
14fa5a3d2f74a40f68eb0ceac521c12f,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
43995b741edf1135d5651966789d9696,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
d6153eb9fef56d883e1cdd0a9ce24edc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ccc661622a57c6f939114dd918109fde,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
