brand_name,model,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/usable_phases,ac_charger/max_power,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power
Audi,sportback 55,2020,86.5,22.8,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,gt quattro,2021,85,20.2,3,11,85,0,85,40,85,70,68,90,34,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 40,2021,76.6,18.9,3,11,76.6,0,76.6,20,76.6,40,61,60,46,TRUE,,,80,31,100,11,,,,,,,,,,,,
Audi,etron 50,2021,76.6,19.9,3,11,76.6,0,76.6,20,76.6,40,61,60,46,TRUE,,,80,31,100,11,,,,,,,,,,,,
Audi,sportbacketron 50,2021,76.6,19.2,3,4,76.6,0,76.6,20,76.6,40,61,60,46,TRUE,,,80,31,100,11,,,,,,,,,,,,
Audi,etron 45,2021,76.6,19.9,3,11,76.6,0,76.6,20,76.6,40,61,60,46,TRUE,,,80,31,100,11,,,,,,,,,,,,
Audi,sportbacketron 40,2021,76.6,18,3,4,76.6,0,76.6,20,76.6,40,61,60,46,TRUE,,,80,31,100,11,,,,,,,,,,,,
Audi,s,2021,86.5,27,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,s sportback,2021,86.5,26.2,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,50,2021,64.7,23.1,3,11,64.7,0,64.7,30,64.7,60,45.29,80,25.88,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,sportback 50,2021,64.7,21.9,3,11,64.7,0,64.7,30,64.7,60,45.29,80,25.88,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,sportbacketron 45,2022,76.6,19.2,3,11,76.6,0,76.6,30,76.6,60,53.62,80,30.64,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 50,2022,89,20.9,3,11,89,0,89,30,89,60,62.3,80,35.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 55,2022,106,21,3,11,106,0,106,30,106,60,74.2,80,42.4,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron sportback 50,2022,89,20,3,11,89,0,89,30,89,60,62.3,80,35.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron sportback 55,2022,106,20.2,3,11,106,0,106,30,106,60,74.2,80,42.4,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron,2023,106,23.3,3,11,106,0,106,30,106,60,74.2,80,42.4,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron sportback,2023,106,22.1,3,11,106,0,106,30,106,60,74.2,80,42.4,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 45,2023,77,18.3,3,11,77,0,77,30,77,60,53.9,80,30.8,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 45,2023,77,19.5,3,11,77,0,77,30,77,60,53.9,80,30.8,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 55,2023,77,19.5,3,11,77,0,77,30,77,60,53.9,80,30.8,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,sportbacketron 45,2023,77,17.7,3,11,77,0,77,30,77,60,53.9,80,30.8,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,sportbacketron 45,2023,77,18.8,3,11,77,0,77,30,77,60,53.9,80,30.8,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,sportbacketron 55,2023,77,18.6,3,11,77,0,77,30,77,60,53.9,80,30.8,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,iX3,2021,74,19.2,3,11,74,0,74,30,74,60,51.8,80,29.6,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,i3,2020,37.9,15.4,3,11,50,0,43,10,44,20,45,40,46,FALSE,,,60,47,80,48,85,50,90,35,100,11,,,,,,
BMW,i3,2013,18.8,14.5,1,7.4,47,0,43,30,47,33,44,62,44,FALSE,,,100,3,,,,,,,,,,,,,,
BMW,i3,2013,27.2,16,3,11,50,0,44,60,46,80,50,100,3,FALSE,,,,,,,,,,,,,,,,,,
BMW,i3S,2020,37.9,16.2,3,11,50,0,47.5,75,50,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i3S,2019,37.9,16.1,3,11,49,0,49,45,46,60,40,80,27,FALSE,,,100,14,,,,,,,,,,,,,,
BMW,i3S,2019,27.2,16.1,3,11,49,0,49,45,46,60,40,80,27,FALSE,,,100,14,,,,,,,,,,,,,,
